EmployeeName,Position,Salary,PaymentDate
Walt Heisenberg,Developer,90000000.00,2011-02-05
Jane Smith,Developer,40000.00,2025-08-05
Peter Parker,Developer,41000.00,2025-08-04
Joe Biden,Joe Ice-Cream,90000000.00,2025-08-01
Kirito Kirigaya,Beta Tester,35000.00,2025-08-06
Steve Roger,Senior Developer,46000.00,2025-08-01
Josef Stalin,Senior Developer,46100.00,2025-08-02
Holy Sheet,Skibidi,60000.00,2025-08-09
Steve Minecraft,Assistant Manager,49000.00,2025-02-03
Skibidi Toliet,Web Developer,47000.00,2025-08-10
Jake Sully,Application Engineer,50500.00,2025-08-17
Eren Yeager,Cloud Engineer,60000.00,2025-08-01
Mario Luigi,Front-end designer,57000.00,2025-08-02
Hacker Man,Skibi,79999.00,2025-08-01
Kita Ikuyo,Back-end Developer,70000.00,2025-08-01
Saul Goodman,Supervisor Manager,900000.00,2025-03-05
Adolf Painter,Supreme CEO,1900000000.00,1944-02-07
John Doe,Developer,42000.50,2025-08-01
Skibidi DomDOm,No Position,201201024.00,2001-02-30
