EmployeeName,Position,Salary,PaymentDate
Walt Heisenberg,Developer,90000000.00,2011-02-05
John Doe,Manager,50000.00,2025-08-01
Jane Smith,Developer,40000.00,2025-08-05
Peter Parker,Developer,41000.00,2025-08-04
Joe Biden,CFO,90000000.00,2025-08-01
Kirito Kirigaya,Beta Tester,35000.00,2025-08-06
Steve Roger,Senior Developer,46000.00,2025-08-01
Josef Stalin,Senior Developer,46100.00,2025-08-02
Holy Sheet,Accountant,60000.00,2025-08-09
Elon Ma,CEO,9000000.00,2025-08-11
Steve Minecraft,Assistant Manager,49000.00,2025-08-12
Super Idol,COO,760000.00,2025-08-22
Skibidi Toliet,Web Developer,47000.00,2025-08-10
Jake Sully,Application Engineer,50500.00,2025-08-17
Eren Yeager,Cloud Engineer,60000.00,2025-08-01
Mario Luigi,Front-end designer,57000.00,2025-08-02
Hacker Man,Cybersecurity Specialist,79999.00,2025-08-01
